"Read Details","Читати подробиці",module,Magento_AdminNotification
"Mark as Read","Позначити як прочитане",module,Magento_AdminNotification
"Are you sure?","Ви впевнені?",module,Magento_AdminNotification
Remove,Вилучити,module,Magento_AdminNotification
"Messages Inbox","Вхідні повідомлення",module,Magento_AdminNotification
"You have %1 new system messages","У вас є %1 нових системних повідомлень",module,Magento_AdminNotification
"You have %1 new system message","У вас є %1 новe системнe повідомлення",module,Magento_AdminNotification
"Incoming Message","Вхідне повідомлення",module,Magento_AdminNotification
close,закрити,module,Magento_AdminNotification
Notifications,Сповіщення,module,Magento_AdminNotification
"The message has been marked as Read.","Повідомлення було позначено як прочитане.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Ми не змогли позначити повідомлення як Прочитане через помилку.",module,Magento_AdminNotification
"Please select messages.","Будь ласка, виберіть повідомлення.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Всього %1 запис (-ів) позначено як прочитані.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Загалом %1 запис(ів) було видалено.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Ми не змогли видалити повідомлення через помилку.",module,Magento_AdminNotification
"The message has been removed.","Повідомлення було видалено.",module,Magento_AdminNotification
"1 Hour","1 година",module,Magento_AdminNotification
"2 Hours","2 години",module,Magento_AdminNotification
"6 Hours","6 годин",module,Magento_AdminNotification
"12 Hours","12 годин",module,Magento_AdminNotification
"24 Hours","24 години",module,Magento_AdminNotification
critical,критичне,module,Magento_AdminNotification
major,основне,module,Magento_AdminNotification
minor,незначне,module,Magento_AdminNotification
notice,повідомлення,module,Magento_AdminNotification
"Wrong message type","Невірний тип повідомлення",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Будь ласка, перейдіть до <a href=""%1"">Управління кешем</a> та оновіть кешеві типи.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Завершено синхронізацію медіа сховищ.",module,Magento_AdminNotification
"Close popup","Закрити спливаюче вікно",module,Magento_AdminNotification
Close,Закрити,module,Magento_AdminNotification
"Critical System Messages","Критичні Системні Повідомлення",module,Magento_AdminNotification
"Major System Messages","Значні Системні Повідомлення",module,Magento_AdminNotification
"System messages","Системні повідомлення",module,Magento_AdminNotification
"You created the order.","Ви створили замовлення.",module,Magento_Authorizenet
"Order saving error: %1","Помилка зберігання замовлення: %1",module,Magento_Authorizenet
"Please choose a payment method.","Будь ласка, виберіть спосіб оплати.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Кредитна картка: xxxx-%1",module,Magento_Authorizenet
"amount %1","всього %1",module,Magento_Authorizenet
authorize,авторизувати,module,Magento_Authorizenet
"authorize and capture","авторизувати та захопити",module,Magento_Authorizenet
capture,захопити,module,Magento_Authorizenet
refund,"повернення грошей",module,Magento_Authorizenet
void,нічого,module,Magento_Authorizenet
"Gateway error: %1","Помилка шлюзу: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Щось пішло не так у платіжному шлюзі.",module,Magento_Authorizenet
"Invalid amount for capture.","Недопустима сума для блокування.",module,Magento_Authorizenet
"Payment capturing error.","Помилка захоплення платежу.",module,Magento_Authorizenet
"Invalid transaction ID.","Недійсний ідентифікатор транзакції.",module,Magento_Authorizenet
"Payment voiding error.","Помилка анулювання платежу.",module,Magento_Authorizenet
"Invalid amount for refund.","Неприпустима сума повернення коштів.",module,Magento_Authorizenet
"Payment refunding error.","Помилка повернення платежу.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","Транзакцію було відхилено через невдалу валідацію хешу відповіді.",module,Magento_Authorizenet
"There was a payment authorization error.","Сталася помилка авторизації платежу.",module,Magento_Authorizenet
"Authorize Only","Тільки Авторизувати",module,Magento_Authorizenet
"Authorize and Capture","Авторизувати та Захопити",module,Magento_Authorizenet
"Credit Card Type","Тип Кредитної Картки",module,Magento_Authorizenet
"Credit Card Number","Номер Кредитної Картки",module,Magento_Authorizenet
"Expiration Date","Дата Збігає",module,Magento_Authorizenet
"Card Verification Number","Номер Підтвердження Картки",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Недійсний Ключ Форми. Будь-ласка, оновіть сторінку.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","Ви ввели недійсний Секретний Ключ. Будь-ласка, оновіть сторінку.",module,Magento_Backend
"Cache Storage Management","Управління Сховищем Кешу",module,Magento_Backend
"Flush Magento Cache","Скинути Magento Кеш",module,Magento_Backend
"Flush Cache Storage","Скинути Сховище Кешу",module,Magento_Backend
Invalidated,"Визнано недійсним",module,Magento_Backend
Orders,Замовлення,module,Magento_Backend
Amounts,Суми,module,Magento_Backend
Bestsellers,"Лідери продажів",module,Magento_Backend
"Most Viewed Products","Найбільш Просмотрювані Товари",module,Magento_Backend
"New Customers","Нові Покупці",module,Magento_Backend
Customers,Покупці,module,Magento_Backend
Customer,Покупець,module,Magento_Backend
Guest,Гість,module,Magento_Backend
Items,Елементи,module,Magento_Backend
Total,Загалом,module,Magento_Backend
"Lifetime Sales","Довічні Продажі",module,Magento_Backend
"Average Order","Середнє Замовлення",module,Magento_Backend
Average,Середній,module,Magento_Backend
Product,Товар,module,Magento_Backend
Price,Ціна,module,Magento_Backend
Quantity,Кількість,module,Magento_Backend
Views,Перегляди,module,Magento_Backend
Revenue,Прибуток,module,Magento_Backend
Tax,Податок,module,Magento_Backend
Shipping,Доставка,module,Magento_Backend
"Images (.gif, .jpg, .png)","Зображення (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Медіа (.avi, .flv, .swf)",module,Magento_Backend
"All Files","Всі файли",module,Magento_Backend
"Reset to Default","Відновити Значення за Замовчуванням",module,Magento_Backend
"All Store Views","Усі Види Магазинів",module,Magento_Backend
"What is this?","Що це?",module,Magento_Backend
"Save Account","Зберегти Обліковий Запис",module,Magento_Backend
"My Account","Мій Аккаунт",module,Magento_Backend
"Account Information","Інформація про обліковий запис",module,Magento_Backend
"User Name","Ім'я користувача",module,Magento_Backend
"First Name",Ім'я,module,Magento_Backend
"Last Name",Прізвище,module,Magento_Backend
Email,"Електронна пошта",module,Magento_Backend
"User Email","Email Користувача",module,Magento_Backend
"New Password","Новий Пароль",module,Magento_Backend
"Password Confirmation","Підтвердження Паролю",module,Magento_Backend
"Interface Locale","Локалізація Інтерфейсу",module,Magento_Backend
"Current User Identity Verification","Перевірка Особи Поточного Користувача",module,Magento_Backend
"Your Password","Ваш Пароль",module,Magento_Backend
"Save Cache Settings","Зберегти Налаштування Кешу",module,Magento_Backend
"Catalog Rewrites","Перезаписи Каталогу",module,Magento_Backend
Refresh,Оновити,module,Magento_Backend
"Images Cache","Кеш Зображень",module,Magento_Backend
Clear,Очистити,module,Magento_Backend
"Search Index","Індекс пошуку",module,Magento_Backend
Rebuild,Перебудувати,module,Magento_Backend
"Inventory Stock Status","Статус Запасу",module,Magento_Backend
"Rebuild Catalog Index","Перебудувати Індекс Каталогу",module,Magento_Backend
"Rebuild Flat Catalog Category","Перебудувати Просту Категорію Каталогу",module,Magento_Backend
"Rebuild Flat Catalog Product","Перебудувати Простий Продукт Каталогу",module,Magento_Backend
"Cache Control","Керування Кешем",module,Magento_Backend
"All Cache","Весь кеш",module,Magento_Backend
"No change","Без змін",module,Magento_Backend
Disable,Вимкнути,module,Magento_Backend
Enable,Увімкнути,module,Magento_Backend
"Add Design Change","Додати Зміну Дизайну",module,Magento_Backend
Back,Назад,module,Magento_Backend
Delete,Видалити,module,Magento_Backend
"Are you sure?","Ви впевнені?",module,Magento_Backend
Save,Зберегти,module,Magento_Backend
"Edit Design Change","Редагувати Зміну Дизайну",module,Magento_Backend
"New Store Design Change","Нова Зміна Дизайну Магазину",module,Magento_Backend
"General Settings","Основні Налаштування",module,Magento_Backend
Store,Магазин,module,Magento_Backend
"-- Please Select --","-- Виберіть --",module,Magento_Backend
"Custom Design","Користувацький Дизайн",module,Magento_Backend
"Date From","Дата Від",module,Magento_Backend
"Date To","Дата До",module,Magento_Backend
"Design Change","Зміна Дизайну",module,Magento_Backend
General,Загальні,module,Magento_Backend
Cancel,Скасувати,module,Magento_Backend
"Delete %1 '%2'","Видалити %1 '%2'",module,Magento_Backend
"Delete %1","Видалити %1",module,Magento_Backend
"Block Information","Блокувати Інформацію",module,Magento_Backend
"Backup Options","Опції Резервної Копії",module,Magento_Backend
"Create DB Backup","Створити Резервну Копію БД",module,Magento_Backend
Yes,Так,module,Magento_Backend
No,Ні,module,Magento_Backend
"Delete Store","Видалити магазин",module,Magento_Backend
"Delete Web Site","Видалити веб-сайт",module,Magento_Backend
"Save Web Site","Зберегти веб-сайт",module,Magento_Backend
"Save Store","Зберегти Магазин",module,Magento_Backend
"Save Store View","Зберегти Вид Магазину",module,Magento_Backend
"Delete Store View","Видалити Вид Магазину",module,Magento_Backend
"Edit Web Site","Редагувати Веб Сайт",module,Magento_Backend
"New Web Site","Новий Веб-сайт",module,Magento_Backend
"Edit Store","Змінити Магазин",module,Magento_Backend
"New Store","Новий Магазин",module,Magento_Backend
"Edit Store View","Редагувати Вид Магазину",module,Magento_Backend
"New Store View","Новий Вид Магазину",module,Magento_Backend
"Store Information","Інформація Магазину",module,Magento_Backend
"Web Site",Веб-сайт,module,Magento_Backend
Name,Ім'я,module,Magento_Backend
"Root Category","Коренева Категорія",module,Magento_Backend
"Default Store View","Вид Магазину за Замовчування",module,Magento_Backend
"Store View Information","Інформація Виду Магазину",module,Magento_Backend
Code,Код,module,Magento_Backend
Status,Статус,module,Magento_Backend
Disabled,Вимкнено,module,Magento_Backend
Enabled,Ввімкнено,module,Magento_Backend
"Sort Order","Порядок Сортування",module,Magento_Backend
"Web Site Information","Інформація Веб Сайту",module,Magento_Backend
"Default Store","Магазин за Замовчуванням",module,Magento_Backend
"Set as Default","Зробити Значенням за Замовчуванням",module,Magento_Backend
Stores,Магазини,module,Magento_Backend
"Create Website","Створити Веб-сайт",module,Magento_Backend
"Create Store","Створити Магазин",module,Magento_Backend
"Create Store View","Створити Вид Магазину",module,Magento_Backend
Home,Головна,module,Magento_Backend
Reset,Очистити,module,Magento_Backend
"Are you sure you want to do this?","Ви справді бажаєте це зробити?",module,Magento_Backend
"Add New Image","Додати Нове Зображення",module,Magento_Backend
"Reset Filter","Скинути фільтр",module,Magento_Backend
Search,Пошук,module,Magento_Backend
Any,Будь-який,module,Magento_Backend
"All Countries","Всі Країни",module,Magento_Backend
From,Від,module,Magento_Backend
To,До,module,Magento_Backend
"Date selector","Вибір дати",module,Magento_Backend
"[ deleted ]","[ видалено ]",module,Magento_Backend
"Select All","Вибрати все",module,Magento_Backend
"Add New","Додати Новий",module,Magento_Backend
Export,Експорт,module,Magento_Backend
"Please correct the column format and try again.","Будь-ласка, виправте формат стовпця і повторіть спробу.",module,Magento_Backend
"Please select items.","Будь-ласка, виберіть елементи.",module,Magento_Backend
Submit,Підтвердити,module,Magento_Backend
"Please correct the tab configuration and try again.","Будь-ласка, виправте конфігурацію вкладки і повторіть спробу.",module,Magento_Backend
"You have logged out.","Ви вийшли з системи.",module,Magento_Backend
"The image cache was cleaned.","Кеш зображення було очищено.",module,Magento_Backend
"An error occurred while clearing the image cache.","Сталася помилка під час очищення кешу зображення.",module,Magento_Backend
"The JavaScript/CSS cache has been cleaned.","Кеш JavaScript/CSS було очищено.",module,Magento_Backend
"An error occurred while clearing the JavaScript/CSS cache.","Сталася помилка під час очищення JavaScript/CSS кешу.",module,Magento_Backend
"You flushed the cache storage.","Ви скинули сховище кешу.",module,Magento_Backend
"The Magento cache storage has been flushed.","Сховище Magento кешу було скинуто.",module,Magento_Backend
"Cache Management","Управління Кешем",module,Magento_Backend
